ID_book,first author,title,genre,city,publisher,year,cover type,price,discount
61,Gillian,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,Science Fiction,Varginha,Price-Harris,1961,Audio,63.27,89.94
62,Brittany,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,Fantasy,Kanginan,Price-Harris,1991,Hardcover,213.51,40.53
63,Port,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,Fantasy,Troparëvo,"Bernier, Dooley and Considine",1975,Paperback,929.21,76.58
64,Jenica,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,Drama,Tongbang,"Dickinson, Lind and Bruen",1907,Kindle,646.05,51.73
65,Brigg,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,Romance,Varginha,Carroll Inc,1900,Hardcover,789.07,60.53
66,Kearney,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,Biography,Savanna-la-Mar,Purdy Group,1935,Paperback,715.33,91.09
67,Winny,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,Drama,Al Jahrā’,Schaefer Group,1963,Paperback,911.14,41.68
68,Sherwin,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,Mystery,Koson,"Rutherford, Predovic and Osinski",1942,Audio,38.79,93.58
69,Brenn,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,History,Bouabout,"Rutherford, Predovic and Osinski",1902,Audio,574.46,79.75
70,Celine,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,Mystery,São Martinho de Árvore,"Dickinson, Lind and Bruen",1902,Hardcover,356.56,64.97
71,Humfrey,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,Comedy,Vestmannaeyjar,Price-Harris,1910,Leatherbound,37.02,32.17
72,Dannie,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,Biography,Kyzylzhar,"Dickinson, Lind and Bruen",2010,Hardcover,54.62,8.26
73,Cicily,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,History,Savanna-la-Mar,"Dickinson, Lind and Bruen",1971,Paperback,604.23,66.57
74,Alameda,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,Mystery,Lanas,"Bernier, Dooley and Considine",1906,Hardcover,788.97,81.15
75,Marielle,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,History,Kyzylzhar,Schaefer Group,2008,Hardcover,722.98,81.89
76,Mareah,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,Romance,Koson,"Bernier, Dooley and Considine",1902,Hardcover,585.48,63.79
77,Murielle,integer ac neque duis bibendum morbi non quam nec dui,Science Fiction,Troparëvo,"Bernier, Dooley and Considine",1997,Audio,147.39,91.84
78,Manda,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,Mystery,Kulonkali,Price-Harris,1983,Hardcover,796.39,95.32
79,Vivie,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,Comedy,Lanas,Purdy Group,1934,Audio,451.97,89.71
80,Emanuel,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,Biography,Lingcheng,Carroll Inc,1955,Paperback,942.41,18.91
81,Toinette,sapien placerat ante nulla justo aliquam quis turpis eget elit,Biography,Flores da Cunha,"Dickinson, Lind and Bruen",2019,Hardcover,975.93,70.61
82,Brenn,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,Fantasy,Troparëvo,"Bernier, Dooley and Considine",1945,Kindle,929.8,15.84
83,Lebbie,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,Science Fiction,Al Jahrā’,Purdy Group,1921,Leatherbound,858.49,82.0
84,Shayna,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,Fantasy,Cahuanuyo,Thiel-Mills,1961,Audio,519.85,96.64
85,Cicily,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,History,Kyzylzhar,"Dickinson, Lind and Bruen",1932,Audio,702.77,74.31
86,Kareem,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,Science Fiction,Flores da Cunha,Carroll Inc,1914,Leatherbound,407.68,64.61
87,Emanuele,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,Science Fiction,Cahuanuyo,Schaefer Group,1972,Hardcover,370.05,39.52
88,Worthington,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,Science Fiction,Savanna-la-Mar,"Dickinson, Lind and Bruen",1924,Leatherbound,728.35,44.59
89,Brenn,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,Fantasy,Tongbang,"Dickinson, Lind and Bruen",1916,Kindle,269.22,55.73
90,Heloise,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,Fantasy,Tongbang,Schaefer Group,1951,Paperback,720.79,0.92
91,Manda,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,Fantasy,Savanna-la-Mar,"Rutherford, Predovic and Osinski",1935,Paperback,280.72,57.23
92,Cloris,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,Fantasy,Urpay,"Dickinson, Lind and Bruen",1941,Kindle,678.06,50.79
93,Kareem,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,Biography,Cahuanuyo,"Bernier, Dooley and Considine",2007,Kindle,477.21,64.99
94,Janean,duis ac nibh fusce lacus purus aliquet at feugiat non pretium,Fantasy,Kyzylzhar,Price-Harris,1941,Kindle,261.53,67.77
95,Rosaleen,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,Mystery,Urpay,Schaefer Group,1911,Audio,620.3,40.24
96,Winny,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,Science Fiction,Flores da Cunha,"Rutherford, Predovic and Osinski",1956,Kindle,126.22,91.85
97,Welbie,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,Biography,Cahuanuyo,"Rutherford, Predovic and Osinski",2003,Paperback,871.86,19.2
98,Humfrey,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,Science Fiction,Vestmannaeyjar,Purdy Group,1914,Hardcover,101.63,24.5
99,Cristionna,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,Drama,Kulonkali,"Bernier, Dooley and Considine",1945,Kindle,198.71,10.73
100,Brigg,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,Comedy,Vestmannaeyjar,Price-Harris,1922,Kindle,35.42,13.77
101,Brigg,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,Comedy,Urpay,Thiel-Mills,2011,Kindle,631.76,65.04
102,Brittany,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed,Science Fiction,Varginha,"Bernier, Dooley and Considine",1978,Kindle,12.8,42.25
103,Lannie,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,Drama,Vestmannaeyjar,"Rutherford, Predovic and Osinski",2015,Hardcover,621.4,66.77
104,Marielle,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,Biography,São Martinho de Árvore,Price-Harris,1966,Audio,673.95,73.55
105,Shayna,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac,Drama,Troparëvo,Price-Harris,1951,Paperback,998.09,83.25
106,Cristionna,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,Romance,Al Jahrā’,Thiel-Mills,2009,Hardcover,30.77,66.57
107,Rosaleen,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,Biography,Bouabout,Schaefer Group,1909,Leatherbound,374.34,67.85
108,Mareah,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,Biography,Koson,"Bernier, Dooley and Considine",1939,Audio,206.71,30.39
109,Rosaleen,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,Science Fiction,Kanginan,"Rutherford, Predovic and Osinski",1969,Paperback,333.65,13.78
110,Osmund,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,History,Cahuanuyo,Schaefer Group,1938,Kindle,977.22,47.2
111,Brenn,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,Comedy,Kanginan,Purdy Group,1970,Hardcover,186.69,34.05
112,Blakelee,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,Drama,Kyzylzhar,Purdy Group,1906,Paperback,10.21,41.37
113,Marielle,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,Fantasy,Fortios,Price-Harris,1944,Leatherbound,713.59,90.31
114,Brittany,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,Drama,Oslo,Price-Harris,1983,Audio,148.41,76.08
115,Rosaleen,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,Drama,Al Jahrā’,Carroll Inc,1937,Hardcover,732.31,72.97
116,Marielle,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,Science Fiction,Flores da Cunha,Thiel-Mills,1991,Paperback,624.26,37.95
117,Gorden,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,Science Fiction,Flores da Cunha,Price-Harris,1949,Kindle,599.99,74.23
118,Toinette,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,Science Fiction,Bouabout,Carroll Inc,1951,Hardcover,474.52,96.96
119,Winny,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,Biography,Lanas,Thiel-Mills,1936,Audio,1.24,19.87
120,Christiane,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,Biography,Lanas,Carroll Inc,1998,Audio,551.43,51.16
121,Jefferey,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,Science Fiction,Oslo,"Dickinson, Lind and Bruen",1978,Kindle,129.94,63.21
122,Janean,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,Biography,Savanna-la-Mar,"Rutherford, Predovic and Osinski",1993,Kindle,94.16,52.69
123,Shayna,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,Biography,Fortios,"Dickinson, Lind and Bruen",1929,Leatherbound,388.95,4.82
124,Celine,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,Science Fiction,Vestmannaeyjar,Purdy Group,2003,Hardcover,139.92,22.09
125,Lebbie,pede ac diam cras pellentesque volutpat dui maecenas tristique est et,Mystery,Varginha,Purdy Group,1975,Kindle,220.44,59.16
126,Lisbeth,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,History,Kyzylzhar,"Dickinson, Lind and Bruen",1961,Hardcover,957.51,52.99
127,Brittany,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,Fantasy,Flores da Cunha,"Rutherford, Predovic and Osinski",1989,Audio,200.24,39.85
128,Kearney,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,Mystery,Lanas,"Bernier, Dooley and Considine",1927,Audio,875.37,89.61
129,Osmund,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,Science Fiction,Oslo,"Dickinson, Lind and Bruen",2005,Hardcover,138.6,16.6
130,Cloris,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,Science Fiction,Urpay,Schaefer Group,1963,Kindle,922.51,52.86
131,Welbie,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,Comedy,Kulonkali,Schaefer Group,1988,Leatherbound,745.44,49.13
132,Vivie,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,Biography,Savanna-la-Mar,Price-Harris,1981,Paperback,522.86,17.36
133,Lannie,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,Comedy,Varginha,"Dickinson, Lind and Bruen",1914,Paperback,124.75,52.27
134,Jefferey,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,Science Fiction,Flores da Cunha,"Bernier, Dooley and Considine",1998,Kindle,99.97,79.02
135,Tabitha,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,Biography,Vestmannaeyjar,Price-Harris,1996,Hardcover,469.05,12.97
136,Rosaleen,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,Biography,Urpay,"Rutherford, Predovic and Osinski",1931,Paperback,627.57,75.96
137,Leoine,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,Science Fiction,São Martinho de Árvore,Carroll Inc,1928,Kindle,911.35,12.59
138,Lebbie,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,Fantasy,Al Jahrā’,Price-Harris,1972,Paperback,160.58,66.61
139,Celine,bibendum morbi non quam nec dui luctus rutrum nulla tellus,Mystery,Vestmannaeyjar,Purdy Group,1964,Audio,489.4,23.13
140,Brittany,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,Science Fiction,Bouabout,Thiel-Mills,2006,Kindle,362.12,29.35
141,Cicily,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,Fantasy,Troparëvo,"Dickinson, Lind and Bruen",1940,Leatherbound,78.04,46.71
142,Sim,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,Biography,Lanas,Carroll Inc,1964,Hardcover,216.7,57.3
143,Noni,non sodales sed tincidunt eu felis fusce posuere felis sed,Science Fiction,Kyzylzhar,"Dickinson, Lind and Bruen",1900,Hardcover,749.78,66.8
144,Sim,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,History,Kanginan,Price-Harris,1941,Leatherbound,776.69,83.78
145,Rosaleen,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,Biography,Lingcheng,Price-Harris,1952,Paperback,619.78,4.93
146,Joyann,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,Science Fiction,Kanginan,Schaefer Group,1953,Leatherbound,73.99,12.05
147,Dyane,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,Mystery,Lanas,Carroll Inc,1982,Leatherbound,496.12,52.49
148,Brigg,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,Drama,Savanna-la-Mar,"Rutherford, Predovic and Osinski",1950,Kindle,946.12,78.27
149,Celine,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,Biography,Koson,Thiel-Mills,1990,Hardcover,445.31,71.2
150,Cicily,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,Comedy,Lanas,"Rutherford, Predovic and Osinski",2008,Leatherbound,313.27,68.53
151,Gorden,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,History,Kyzylzhar,Carroll Inc,2021,Hardcover,789.85,30.58
152,Mareah,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,Biography,Cahuanuyo,Schaefer Group,2005,Leatherbound,228.6,74.01
153,Blakelee,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,Fantasy,Urpay,"Rutherford, Predovic and Osinski",1957,Audio,989.02,73.14
154,Kearney,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,Science Fiction,Kulonkali,"Dickinson, Lind and Bruen",1951,Hardcover,639.59,96.38
155,Lebbie,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,Biography,Kuafeu,Thiel-Mills,2008,Hardcover,215.0,31.12
156,Mareah,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,Mystery,Vestmannaeyjar,Price-Harris,1968,Audio,886.69,41.62
